timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584384444,22995,2019,Jeep,Cherokee,Sport Utility,28256,Clean Title,Price,UT,Dealer,Limited,silver,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,AWD,29
1584384455,9888,2011,Ford,Flex,SUV,135525,Clean Title,South Salt Lake,UT,Dealer,Limited,blue,black,Automatic,,6.0,Gasoline,4.0,,,AWD,21
1584384477,6900,2009,Ford,F-250,Truck,210771,Clean Title,North Logan,UT,Dealer,XLT,,,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,5
1584384516,2500,2000,Subaru,Forester,Wagon,218000,Clean Title,Bountiful,UT,Owner,,silver,gray,Automatic,,,Gasoline,4.0,Very Good,Very Good,,5
1584384518,18995,2014,Ford,F-150,Truck,136003,Clean Title,Idaho Falls,ID,Dealer,XLT,red,gray,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,24
1584384544,12500,2011,Toyota,Venza,Sport Utility,68300,Clean Title,Provo,UT,Owner,LE,white,beige,Automatic,,6.0,Gasoline,5.0,Very Good,Excellent,AWD,2
1584384548,1000,2002,Nissan,Maxima,Sedan,160000,Clean Title,Spanish Fork,UT,Owner,,blue,tan,Manual,,,Gasoline,4.0,Good,Good,FWD,1
1584384615,29899,2019,Toyota,Tacoma,Truck,14518,Clean Title,Alpine,UT,Owner,,,,,,6.0,Gasoline,,,,4-Wheel Drive,5
1584384687,10750,2012,Subaru,Impreza,Hatchback,33487,Clean Title,Sandy,UT,Owner,2.0i Limited,blue,black,Automatic,,4.0,Gasoline,5.0,Very Good,Excellent,AWD,5
1584384700,1985,1999,Honda,Accord,Coupe,199123,Clean Title,Alpine,UT,Owner,EX-L,white,tan,Automatic,,6.0,Gasoline,2.0,Good,Good,FWD,14
1584384702,5495,2005,Toyota,4Runner,SUV,241000,Clean Title,Springville,UT,Dealer,SR5 Sport,,,Automatic,,6.0,Gasoline,4.0,Good,Excellent,4-Wheel Drive,22
1584384710,2995,1995,Toyota,T100,Truck,277431,Clean Title,North Logan,UT,Dealer,DX,,,Manual,,6.0,Gasoline,2.0,,,4-Wheel Drive,5
1584384725,1900,2005,Honda,Odyssey,Minivan,246000,Clean Title,Rexburg,ID,Owner,,,,,,6.0,Gasoline,,,,FWD,6
1584384727,2900,2003,Toyota,Corolla,Sedan,147000,Clean Title,Centerville,UT,Owner,S,gray,,Manual,,,Gasoline,,,Very Good,FWD,2
1584384745,7795,2014,Kia,Optima,Sedan,106000,Clean Title,Springville,UT,Dealer,LX,white,tan,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,24
1584384783,49990,2019,Cadillac,XT5,Sport Utility,12609,,Willard,UT,Dealer,Platinum AWD,crystal white tricoat,maple sugar,Automatic,,6.0,Gasoline,4.0,,,AWD,24
